Payroll type,Check date,Amount,Period Start,Period End,Schedule,Pay run date and time (ET)
Regular,2/25/2026,"$137,805.64",2/2/2026,2/15/2026,Biweekly,2/22/2026 16:14
Regular,2/11/2026,"$138,739.62",1/19/2026,2/1/2026,Biweekly,2/6/2026 22:24
Off-cycle,1/28/2026,"$4,485.29",1/5/2026,1/18/2026,Biweekly,1/28/2026 22:08
Off-cycle,1/28/2026,$874.25,1/19/2026,2/1/2026,Biweekly,1/26/2026 21:57
Regular,1/28/2026,"$141,829.25",1/5/2026,1/18/2026,Biweekly,1/23/2026 21:41
Regular,1/14/2026,"$140,221.31",12/22/2025,1/4/2026,Biweekly,1/11/2026 20:13
Regular,12/31/2025,"$128,498.28",12/8/2025,12/21/2025,Biweekly,12/25/2025 22:31
Regular,12/19/2025,"$119,146.82",11/24/2025,12/7/2025,Biweekly,12/18/2025 20:56
Regular,12/5/2025,"$128,977.19",11/10/2025,11/23/2025,Biweekly,12/2/2025 0:15
Off-cycle,11/19/2025,$807.39,10/27/2025,11/9/2025,Biweekly,11/16/2025 14:11
Regular,11/19/2025,"$132,407.58",10/27/2025,11/9/2025,Biweekly,11/15/2025 23:25
Regular,11/5/2025,"$170,279.43",10/13/2025,10/26/2025,Biweekly,10/31/2025 20:39
Off-cycle,10/22/2025,"$19,593.43",9/29/2025,10/12/2025,Biweekly,10/25/2025 0:42
Regular,10/23/2025,"$152,696.95",9/29/2025,10/12/2025,Biweekly,10/20/2025 23:46
Off-cycle,10/16/2025,"$9,829.44",9/15/2025,9/28/2025,Biweekly,10/15/2025 0:15
Off-cycle,10/10/2025,$0.00,9/1/2025,9/14/2025,Biweekly,10/15/2025 0:09
Off-cycle,10/2/2025,$0.00,9/1/2025,9/14/2025,Biweekly,10/13/2025 16:23
Off-cycle,10/10/2025,"$10,848.22",9/1/2025,9/14/2025,Biweekly,10/8/2025 18:06
Off-cycle,10/8/2025,"$133,201.64",9/1/2025,9/14/2025,Biweekly,10/3/2025 21:06
Regular,10/8/2025,"$143,163.09",9/15/2025,9/28/2025,Biweekly,10/3/2025 21:04
Off-cycle,10/2/2025,"$161,795.11",9/1/2025,9/14/2025,Biweekly,9/26/2025 20:15
